Protein	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw
P0C7P4;P47985	P47985;P0C7P4	UCRIL_HUMAN;UCRI_HUMAN	UQCRFS1;UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1		145464			889053	820940				860055	798230	722648
P0CG39	Q9BYX7;P0CG39;P0CG38	POTEJ_HUMAN	POTEJ	POTE ankyrin domain family member J	688173	961474	1.25E+06				452866	471959	551552			
P0DJ07	P0DJ07	PT100_HUMAN	PET100	"Protein PET100 homolog, mitochondrial"		156061		244193	182074	238020	577867	512945	596380	254392	218193	247537
P0DME0;Q01105;Q01105-2;Q01105-3;Q01105-4	Q01105;Q01105-2;Q01105-3;Q01105-4;P0DME0	SETLP_HUMAN;SET_HUMAN	SET;SETSIP	Protein SETSIP	884048	1.41E+06	1.30E+06	2.86E+06	3.24E+06	2.52E+06	814356	915568	1.12E+06	2.87E+06	2.56E+06	1.85E+06
P0DMV8;P0DMV9	P34931;P0DMV9;P0DMV8;P0DMV8-2	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	6.84E+07	6.76E+07	6.54E+07	8.09E+07	7.87E+07	7.83E+07	8.75E+07	8.97E+07	9.16E+07	6.96E+07	7.01E+07	6.90E+07
P0DN76;Q01081	P0DN76;Q01081;Q01081-2;Q01081-4	U2AF1_HUMAN;U2AF5_HUMAN	U2AF1;U2AF1L5	Splicing factor U2AF 35 kDa subunit-like protein	3.09E+06	2.95E+06	2.74E+06	6.23E+06	6.51E+06	6.77E+06	3.44E+06	3.44E+06	3.34E+06	5.99E+06	5.71E+06	5.81E+06
P0DN79;P35520;P35520-2	P0DN79;P35520;P35520-2	CBSL_HUMAN;CBS_HUMAN	CBS;CBSL	Cystathionine beta-synthase-like protein	662575	648859	632966	1.67E+06	1.55E+06	1.65E+06	721310	823399	766649	2.07E+06	1.95E+06	1.99E+06
P0DP23;P0DP24;P0DP25	P0DP24;P0DP23;P0DP25	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	7.01E+07	7.02E+07	6.71E+07	2.32E+06	2.78E+06	2.70E+06	5.92E+07	6.26E+07	5.86E+07	3.20E+06	3.72E+06	3.65E+06
P10070	P10070;P10070-1;P10070-2;P10070-3;P10070-4	GLI2_HUMAN	GLI2	Zinc finger protein GLI2			60394.2				1.31E+06	1.50E+06	1.44E+06	749602	741163	736373
P10253	P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase				200762	245961	233351				117329	175324	
P10321	P30501;P30508;Q29865;P30480;Q31612;P04222;Q29963;Q07000;P01889;P30504;P10321;Q04826;P30499;P30505;P30510;P30460;P30479	1C07_HUMAN	HLA-C	"HLA class I histocompatibility antigen, Cw-7 alpha chain"	960031	912742	1.02E+06	685855	691687	908241	2.10E+06	2.05E+06	2.11E+06	2.23E+06	2.11E+06	2.14E+06
P10398	P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	1.04E+06	1.20E+06	1.01E+06	915319	912864	878163	1.29E+06	1.34E+06	1.42E+06	994294	984317	1.11E+06
P10515	P10515	ODP2_HUMAN	DLAT	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	621668	601924	634728	1.79E+06	1.74E+06	1.87E+06	740693	691090	704087	1.60E+06	1.49E+06	1.54E+06
P10586;P10586-2	Q13332;Q13332-2;Q13332-3;Q13332-4;Q13332-5;Q13332-6;Q13332-7;P23468;P23468-2;P23468-3;P23468-4;P23468-5;P23468-6;P23468-7;P10586;P10586-2	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F	476497	509481	580802	812796	739821	707919	345090	291112	357275	1.57E+06	1.59E+06	1.56E+06
P10599	P10599;P10599-2	THIO_HUMAN	TXN	Thioredoxin	5.87E+06	6.31E+06	5.50E+06	9.19E+06	8.82E+06	8.15E+06	1.06E+07	1.28E+07	9.69E+06	8.06E+06	7.64E+06	8.97E+06
P10606	P10606	COX5B_HUMAN	COX5B	"Cytochrome c oxidase subunit 5B, mitochondrial"	954697	1.05E+06		1.45E+06	1.39E+06	1.22E+06			424703	638773	528312	567756
P10644;P10644-2	P10644;P10644-2	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	424996	343196	545208	273352	398338	362310	220474	365928	525474	490420	498689	697001
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase				368778	284209	356195				186253	216875	317593
P10809	P10809	CH60_HUMAN	HSPD1	"60 kDa heat shock protein, mitochondrial"	7.20E+06	6.78E+06	7.01E+06	2.23E+07	2.34E+07	2.32E+07	2.40E+08	2.39E+08	2.31E+08	5.76E+07	5.75E+07	5.89E+07
P11021	P11021	GRP78_HUMAN	HSPA5	78 kDa glucose-regulated protein	8.73E+06	8.47E+06	8.02E+06	2.76E+07	2.78E+07	2.96E+07	1.70E+07	1.62E+07	1.64E+07	1.61E+07	1.59E+07	1.50E+07
P11142	P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	8.92E+07	8.83E+07	8.91E+07	8.50E+07	8.32E+07	8.91E+07	1.11E+08	1.15E+08	1.16E+08	8.11E+07	8.13E+07	8.26E+07
P11166	P11166	GTR1_HUMAN	SLC2A1	"Solute carrier family 2, facilitated glucose transporter member 1"	472107	427106	252967	3.47E+06	3.18E+06	3.05E+06	1.61E+06	1.36E+06	1.52E+06	2.05E+06	1.67E+06	1.52E+06
P11171;P11171-2	P11171;P11171-2;P11171-3;P11171-4;P11171-7	41_HUMAN	EPB41	Protein 4.1	2.82E+06	2.95E+06	3.16E+06	320189	304700	358724	1.73E+06	1.67E+06	1.74E+06	319823	330667	309073
P11172	P11172;P11172-3	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	504660	509482	317150	1.24E+06	1.03E+06	1.16E+06	551820	491257	668739	899242	1.11E+06	1.02E+06
P11177;P11177-2	P11177;P11177-2;P11177-3	ODPB_HUMAN	PDHB	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"	465261	387825	388983	2.10E+06	2.22E+06	1.82E+06	603675	507659	577781	1.75E+06	1.36E+06	1.70E+06
P11233	P11234;P11234-2;P11234-3;P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	3.56E+06	4.20E+06	4.11E+06	1.32E+06	1.25E+06	1.25E+06	2.53E+06	2.86E+06	2.83E+06	1.67E+06	1.17E+06	1.84E+06
P11310;P11310-2	P11310;P11310-2	ACADM_HUMAN	ACADM	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	721606	584533	769577	868330	1.07E+06	1.12E+06	2.21E+06	1.95E+06	1.87E+06	642291	733714	945380
P11387	Q969P6;Q969P6-2;P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1					251456	447856	81987.3			358821	415087	408861
P11388;P11388-2;P11388-3;P11388-4	P11388;P11388-2;P11388-3;P11388-4	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	380456	338408	339224	416562	237883	267435		186464		607514	413134	443054
P11413;P11413-2;P11413-3	P11413;P11413-2;P11413-3	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	91960	105706	64453.5	369587	382664	418667	53731	77957.2	95605.5	384378	326866	395163
P11441	P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	353907		561663	890913	941279	1.06E+06				536258	669452	687389
P11498	P11498;P11498-2	PYC_HUMAN	PC	"Pyruvate carboxylase, mitochondrial"	944494	911978	923368		1.55E+06		784188	697429	879672	2.06E+06		
P11586	P11586	C1TC_HUMAN	MTHFD1	"C-1-tetrahydrofolate synthase, cytoplasmic"	2.65E+06	2.64E+06	2.56E+06	6.79E+06	6.95E+06	7.08E+06	4.25E+06	4.12E+06	4.38E+06	6.05E+06	5.86E+06	5.62E+06
P11717	P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	354415	462604	282158	832068	831510	849470	770730	676870	650794	930779	860197	898386
P11802	P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	625124	840472	528433	2.25E+06	2.20E+06	2.38E+06		6.20E+06		1.38E+06	1.53E+06	1.51E+06
P11908;P11908-2	P11908;P11908-2	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2				664765	645161	736659		119292		511070	390743	498531
P11940;P11940-2	P11940;P11940-2;Q4VXU2;Q4VXU2-2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	6.23E+06	6.08E+06	6.19E+06	3.44E+06	3.40E+06	3.36E+06	4.21E+06	4.08E+06	4.35E+06	3.76E+06	3.76E+06	3.70E+06
P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	5.12E+06	5.18E+06	4.87E+06	4.52E+06	4.51E+06	4.57E+06	9.26E+06	1.03E+07	1.13E+07	5.58E+06	5.38E+06	5.39E+06
P12081;P12081-2	P12081;P12081-2;P12081-3;P12081-4;P49590;P49590-2	SYHC_HUMAN	HARS	"Histidine--tRNA ligase, cytoplasmic"	345257			527153	519764	542355			357146	511370	416946	666421
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	1.24E+07	1.35E+07	1.27E+07	1.29E+07	1.18E+07	1.20E+07	1.53E+07	1.47E+07	1.52E+07	1.00E+07	1.01E+07	9.54E+06
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	1.62E+07	1.15E+07	8.64E+06	9.45E+06	1.08E+07	9.65E+06	1.82E+07	1.21E+07	1.42E+07	1.41E+07	1.12E+07	9.78E+06
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	1.01E+06	989564	1.08E+06	4.43E+06	4.73E+06	4.76E+06	836135	801434	902013	4.09E+06	4.26E+06	4.37E+06
P12270	P12270;P12270-2	TPR_HUMAN	TPR	Nucleoprotein TPR	892865	1.43E+06	1.27E+06	4.26E+06	4.65E+06	4.57E+06	1.57E+06	1.53E+06	1.68E+06	4.13E+06	4.34E+06	4.40E+06
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	1.18E+06	1.25E+06	1.12E+06	3.34E+06	2.79E+06	3.15E+06	1.01E+06	919495	1.09E+06	3.11E+06	2.88E+06	2.28E+06
P12532;P12532-2	P12532;P12532-2	KCRU_HUMAN	CKMT1A	"Creatine kinase U-type, mitochondrial"	512900	456519	461354	1.26E+06	1.32E+06	1.28E+06	465391	627914	561314	1.18E+06	1.29E+06	1.21E+06
P12814;P12814-2;P12814-3	P12814;P12814-2;P12814-3;P12814-4	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	3.68E+07	3.73E+07	3.74E+07	735080	698036	827404	1.78E+07	1.82E+07	1.81E+07	858866	745177	845694
P12931;P12931-2	P42685;P42685-2;P08581;P08581-2;Q04912;Q04912-2;P12931;P12931-2;Q9H3Y6	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	3.96E+06	4.48E+06	5.23E+06			677877	3.67E+06	3.79E+06	2.01E+06			
P12955;P12955-2	P12955;P12955-2	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase			85977.7	399502	431972	430576			56138.7	359294	361941	374782
P12956	P12956;P12956-2	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	2.71E+06	2.62E+06	2.54E+06	2.16E+06	2.23E+06	2.47E+06	2.27E+06	2.32E+06	2.31E+06	2.63E+06	2.77E+06	2.63E+06
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	3.63E+06	3.65E+06	3.66E+06	3.12E+06	3.14E+06	3.12E+06	3.11E+06	2.99E+06	3.05E+06	3.76E+06	3.70E+06	3.71E+06
P13051;P13051-2	P13051;P13051-2	UNG_HUMAN	UNG	Uracil-DNA glycosylase		719402	714487				509531	598493	417557			
P13073	P13073	COX41_HUMAN	COX4I1	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"	606089	729088	559660	2.37E+06	2.48E+06	2.24E+06	794636	853861	930014	1.73E+06	1.74E+06	1.72E+06
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	358593	439276	544475	1.47E+06	1.74E+06	2.07E+06	268433	376873	250552	690949	649140	1.03E+06
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	560717	642168	534194	1.46E+06	1.45E+06	1.65E+06	854893	866584	759039	1.87E+06	1.82E+06	1.56E+06
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	1.60E+07	1.72E+07	1.53E+07	2.14E+07	2.16E+07	2.07E+07	8.24E+06	7.97E+06	7.76E+06	1.99E+07	1.96E+07	1.97E+07
P13645	P13645	K1C10_HUMAN	KRT10	"Keratin, type I cytoskeletal 10"	5.43E+07	5.67E+07	5.30E+07	1.03E+08	1.02E+08	1.02E+08	5.61E+07	5.48E+07	5.72E+07	4.83E+07	4.79E+07	4.96E+07
P13647	P13647	K2C5_HUMAN	KRT5	"Keratin, type II cytoskeletal 5"	2.49E+06	2.27E+06	2.36E+06	4.39E+06	4.27E+06	4.30E+06	2.17E+06	2.19E+06	2.16E+06	3.64E+06	3.61E+06	3.79E+06
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	220298		627943	3.12E+06	3.24E+06	3.15E+06	399990	235861	247814	1.26E+06	1.34E+06	1.20E+06
P13674;P13674-2;P13674-3	P13674;P13674-2;P13674-3	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	362863	363969	365713	189593	138993	190740	441914	413399	407686	205065	283632	209008
P13693;P13693-2	P13693;P13693-2;Q56UQ5	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	196166	261176	251198	451594	377269	381523	155753		40860.5	512844	375224	386083
P13797	P13797;P13797-2;P13797-3	PLST_HUMAN	PLS3	Plastin-3	4.57E+06	4.21E+06	4.24E+06	1.70E+06	1.69E+06	1.78E+06	2.41E+06	2.45E+06	2.43E+06	1.15E+06	1.32E+06	1.31E+06
P13804	P13804;P13804-2	ETFA_HUMAN	ETFA	"Electron transfer flavoprotein subunit alpha, mitochondrial"	314703	200120		1.25E+06	1.30E+06	1.27E+06	528286	446585	468837	1.01E+06	994150	1.21E+06
P13861;P13861-2	P13861;P13861-2	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	494235	663916	552638	593745	547910	512502	284427	332805	397640	827506	561303	536852
P13929;P13929-2;P13929-3	P13929;P13929-2;P13929-3	ENOB_HUMAN	ENO3	Beta-enolase	3.92E+06	3.16E+06	4.34E+06	1.25E+07	1.04E+07	1.49E+07	4.20E+06	5.52E+06	5.02E+06	1.01E+07	1.41E+07	1.25E+07
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein	7.73E+06	8.26E+06	7.92E+06	336179			6.94E+06	6.93E+06	6.65E+06	383092	440228	220200
P13995	P13995	MTDC_HUMAN	MTHFD2	"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"	2.58E+06	2.64E+06	2.21E+06	2.31E+06	2.24E+06	2.11E+06	1.61E+06	1.66E+06	1.56E+06	1.14E+06	892774	1.25E+06
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	4.45E+06	6.18E+06	5.49E+06	1.33E+07	1.89E+07	1.42E+07	2.81E+06	3.26E+06	3.00E+06	1.12E+07	1.26E+07	8.84E+06
P14209;P14209-3	P14209;P14209-3	CD99_HUMAN	CD99	CD99 antigen	76458	94287.5	79383.1	1.01E+06	961618	850698	117954	102099	113429	600498	624685	551812
P14314;P14314-2	P14314;P14314-2	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	1.51E+07	1.66E+07	6.59E+06	2.79E+06	2.68E+06	2.80E+06	1.33E+06	2.55E+06	645030	3.10E+06	2.82E+06	2.89E+06
P14324;P14324-2	P14324;P14324-2	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	1.24E+07			548838	455077	479774	9.15E+06		9.26E+06	797519	803920	785188
P14373	P14373;P14373-2	TRI27_HUMAN	TRIM27	Zinc finger protein RFP	560706	792909	707881		215351		1.46E+06	1.48E+06	1.49E+06	714031	619777	641284
P14406	P14406	CX7A2_HUMAN	COX7A2	"Cytochrome c oxidase subunit 7A2, mitochondrial"	311004	171243	201860	574873	884208	755275	234318	277742	268311	724267	782351	933785
P14618	P14618;P14618-2;P14618-3	KPYM_HUMAN	PKM	Pyruvate kinase PKM	4.74E+06	4.75E+06	4.29E+06	1.77E+07	1.72E+07	1.69E+07	3.93E+06	3.93E+06	3.96E+06	1.68E+07	1.67E+07	1.75E+07
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	1.09E+06	1.07E+06	1.12E+06	1.12E+07	1.11E+07	1.12E+07	1.85E+06	1.95E+06	2.02E+06	3.31E+06	3.40E+06	3.04E+06
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	539478	608503	652516				1.02E+06	826025	897082			
P14678;P14678-2;P14678-3;P63162;P63162-2	P14678;P14678-2;P14678-3;P63162;P63162-2	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	4.44E+06	4.48E+06	4.23E+06	5.01E+06	5.03E+06	3.91E+06	3.29E+06	3.48E+06	3.40E+06	4.44E+06	4.31E+06	3.73E+06
P14735	P14735;P14735-2	IDE_HUMAN	IDE	Insulin-degrading enzyme				298886	255050	356184	790813			351120	393002	393736
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1				855425	916550	781667	162399	155768	228739	829921	785206	737669
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	3.04E+06	3.30E+06	2.98E+06	2.52E+06	2.49E+06	2.39E+06	2.30E+06	2.27E+06	2.18E+06	3.40E+06	3.54E+06	3.28E+06
P14868	P14868	SYDC_HUMAN	DARS	"Aspartate--tRNA ligase, cytoplasmic"	2.56E+06	2.56E+06	2.41E+06	5.36E+06	5.17E+06	5.25E+06	1.85E+06	1.86E+06	1.79E+06	4.03E+06	3.90E+06	3.96E+06
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	4.96E+06	4.82E+06	4.93E+06	791339	665349	712939	3.92E+06	3.94E+06	3.98E+06	1.15E+06	1.08E+06	1.21E+06
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	423133	461352		1.67E+06	1.65E+06	1.81E+06				1.55E+06	1.66E+06	
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldose reductase	685673	655800	550697	2.21E+06	2.17E+06	2.17E+06	356109	253662	380384	1.40E+06	1.31E+06	1.27E+06
P15170-2;P15170-3	P15170;P15170-2;P15170-3;Q8IYD1	ERF3A_HUMAN	GSPT1	Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A				539848	810108	785854			256362	961088	902794	996278
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	1.62E+06	1.70E+06	1.37E+06	2.63E+06	2.60E+06	2.67E+06	831510	899336	1.29E+06	2.14E+06	1.96E+06	2.36E+06
P15531;P15531-2	P22392;P22392-2;P15531;P15531-2;O60361	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	1.24E+07	1.23E+07	1.23E+07	1.36E+07	1.54E+07	1.29E+07	8.06E+06	8.69E+06	8.66E+06	1.13E+07	1.15E+07	1.19E+07
P15735;P15735-2	P15735;P15735-2	PHKG2_HUMAN	PHKG2	"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"	1.84E+06	1.41E+06	1.42E+06	453484	316416	449212	1.19E+06	847781	1.09E+06	677023	953196	1.02E+06
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	9.75E+06	9.91E+06	1.04E+07	6.27E+06	6.39E+06	6.00E+06	1.01E+07	9.68E+06	1.00E+07	6.04E+06	6.09E+06	5.66E+06
P15924	P15924;P15924-2;P15924-3	DESP_HUMAN	DSP	Desmoplakin	3.37E+06	3.34E+06	3.15E+06	986260	939075	982539	2.85E+06	2.87E+06	2.87E+06	1.44E+06	1.37E+06	1.48E+06
P15927;P15927-2;P15927-3	P15927;P15927-2;P15927-3	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	4.85E+07	4.96E+07	4.80E+07	5.05E+06	4.97E+06	5.40E+06	4.10E+07	3.90E+07	3.86E+07	3.05E+06	3.04E+06	2.63E+06
P16083	P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	2.47E+06	2.67E+06	2.78E+06	906781	846046	940761	1.48E+06	1.54E+06	1.57E+06	519004	474323	591260
P16104	P16104	H2AX_HUMAN	H2AFX	Histone H2AX	673770	610791	581029	316432	371241	379578	91752.7	97135.3	148044	1.16E+06	1.18E+06	1.10E+06
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	1.31E+06	1.38E+06	1.15E+06	1.36E+06	1.34E+06	1.45E+06	810727	519055	578470	996398	1.09E+06	998530
P16278;P16278-2;P16278-3	P16278;P16278-2;P16278-3	BGAL_HUMAN	GLB1	Beta-galactosidase	345940	397105	260584	279867	321874	284239	259754	311907	179495	285502	138613	296641
P16402	P16402	H13_HUMAN	HIST1H1D	Histone H1.3	1.46E+07	1.50E+07	1.36E+07	8.22E+06	8.56E+06	8.31E+06	9.34E+06	9.42E+06	9.38E+06	2.83E+07	2.97E+07	2.89E+07
P16435	P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase		332256	182626	910629	904208	823179	304489	287063	269384	994937	906681	963919
P16615	P16615;P16615-2;P16615-3;P16615-4;P16615-5	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	2.19E+06	2.07E+06	2.14E+06	5.44E+06	5.53E+06	5.64E+06	3.98E+06	3.86E+06	4.16E+06	5.89E+06	5.92E+06	5.71E+06
P16949;P16949-2	P16949;P16949-2	STMN1_HUMAN	STMN1	Stathmin	226288	103299	316464	986804	1.01E+06	884969	109154		113256	539907	549500	414167
P16989;P16989-3	P16989;P16989-2;P16989-3	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	1.79E+06	1.69E+06	1.72E+06	2.50E+06	2.40E+06	2.62E+06	1.32E+06	1.38E+06	1.21E+06	1.96E+06	1.87E+06	2.01E+06
P17028	Q9Y2L8;Q9UL59;Q9UK10;Q14588;Q14586;Q09FC8;Q09FC8-2;Q09FC8-3;Q09FC8-4;Q09FC8-5;Q09FC8-6;Q8N8Z8;Q8N8Z8-2;P52740;P52740-2;Q9UK12;Q9UK12-2;Q86WZ6;Q86WZ6-2;A6NK53;Q9NV72;Q9NV72-2;Q08AG5;P35789;P35789-2;P35789-3;Q86YE8;Q86YE8-2;Q86YE8-3;Q86YE8-4;Q6ZN19;Q6ZN19-3;Q96NJ3;Q96NJ3-2;Q8N8E2;Q8N8E2-2;Q8N8E2-3;P17028;P17040;P17040-2;P17040-3;Q9UK11;Q9NYT6;P59923;Q0VGE8;Q8N3J9;P17022;P17022-2;Q02386;Q9NZL3;Q9P2F9;Q6AZW8;B4DX44;P0CJ79;P17020;Q9HCG1;Q6U7Q0;Q7L2R6;P17035;P17035-2;Q8NHY6;Q5VIY5;Q5VIY5-2;Q76KX8;Q76KX8-2;Q9UJU3;Q9UJU3-2;Q14590;Q14590-2;Q08AN1;Q9UJW7;Q9UJW7-2;Q14593;Q14593-2;Q9H7R5;Q9H7R5-2;Q3KP31;Q3KP31-2;P0C7X5;B7Z6K7	ZNF24_HUMAN	ZNF24	Zinc finger protein 24	969087	956143	1.03E+06	317638	353955	435660	1.52E+06	1.46E+06	1.59E+06	696457	557981	655532
P17066	P48741;P17066	HSP76_HUMAN	HSPA6	Heat shock 70 kDa protein 6	7.81E+07	7.52E+07	7.14E+07	9.43E+07	1.07E+08	1.20E+08	8.18E+07	7.23E+07	9.14E+07	7.84E+07	7.05E+07	6.64E+07
P17302	P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	846157	674458	750097				665691	624810	449555			
P17509	P17509	HXB6_HUMAN	HOXB6	Homeobox protein Hox-B6			125861				225472	200480	226558			
P17612;P17612-2	P17612;P17612-2	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	52038.7			107187	64653.2		100391	36353.1		99474	206036	
P17661	P17661	DESM_HUMAN	DES	Desmin		4.81E+06	3.19E+06	5.44E+06		3.27E+06	2.96E+06		3.38E+06	1.95E+06	1.69E+06	1.53E+06
P17707	P17707	DCAM_HUMAN	AMD1	S-adenosylmethionine decarboxylase proenzyme	422604	431739	345109									
P17812	P17812;Q9NRF8	PYRG1_HUMAN	CTPS1	CTP synthase 1	1.01E+06	1.21E+06	1.13E+06	1.72E+06	1.80E+06	1.83E+06	1.78E+06	1.74E+06	1.73E+06	1.55E+06	1.66E+06	1.76E+06
P17844	P17844;P17844-2	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	5.80E+06	5.66E+06	5.15E+06	4.17E+06	3.99E+06	4.03E+06	3.64E+06	3.78E+06	3.52E+06	4.85E+06	4.85E+06	4.64E+06
